RasGTP,memRAF1,pMEK,pERK,param
7.51E+02,7.74E+02,1.82E-13,8.96E-14,kEf
-9.62E-11,-1.06E-10,-1.32E-11,-5.35E-12,KEr
2.05E-09,2.25E-09,2.94E-10,1.21E-10,kdEf
-1.26E-10,-1.39E-10,-1.65E-11,-6.55E-12,kdEr
8.57E-09,9.27E-09,1.31E-09,5.63E-10,kcatE
-5.18E-10,-5.80E-10,-6.31E-11,-2.38E-11,kdp
-5.79E-07,-6.46E-07,-7.30E-08,-2.81E-08,kG2f
1.13E+04,1.26E+06,1.43E+05,5.50E-12,kG2r
1.57E-06,1.75E-06,1.98E-07,7.61E-08,kG2SOSf
-6.72E-09,-7.49E-09,-8.38E-10,-3.21E-10,kG2SOSr
9.48E-04,1.06E-03,1.23E-04,4.79E-05,kSOSf
-3.37E-08,-3.76E-08,-4.16E-09,-1.58E-09,kSOSr
4.19E+08,4.39E-07,5.20E+06,1.95E-08,kRgne
-1.27E-11,-1.34E-11,-1.58E-12,-5.91E-13,Kmgne
-9.86E-06,-9.70E-06,-1.24E-06,-4.67E-07,kRhydro
-4.81E-03,8.04E-02,9.46E-03,3.54E-03,kR1f
1.44E-09,-3.20E-08,-3.52E-09,-1.31E-09,kR1r
-1.09E-13,7.75E-15,1.16E-15,4.78E-01,knfpR1r
-8.29E-15,-9.01E-15,-1.79E+01,5.66E-17,kBf
-1.09E-14,1.28E-13,-5.44E-13,-2.22E-13,kBr
-1.55E-16,1.15E-01,1.29E-18,4.58E-19,knfpBr
-1.13E-07,1.41E-06,2.79E+09,1.07E-07,kdR1f
3.99E-09,-8.72E-08,-1.67E-08,-6.44E-09,kdR1r
-3.98E-13,3.15E-13,3.97E-13,1.49E-13,kpR1
1.50E-09,-1.11E-09,-1.82E-09,-6.80E-10,kdpR1
9.24E-07,8.92E-07,-4.29E-06,-1.70E-06,kdpMEK
1.45E-06,1.38E-06,1.84E+09,-3.03E-06,kdpERK
5.57E-05,4.89E-05,7.42E-06,2.99E-06,kdpSOS
-5.96E-03,-5.99E-03,1.38E-02,5.49E-03,крМЕК
-1.00E+00,-1.00E+00,-1.24E-01,1.00E+00,kpERK
-2.19E-01,-3.32E-02,-1.00E+00,-3.96E-01,knfpBR1
-1.77E-01,-1.75E-01,-2.19E-02,-8.15E-03,knfpSOS
